ลำดับที่,มิติงบประมาณ,ประเภทงบประมาณ,หน่วยงานรับผิดชอบ,โครงการ,วงเงิน(ล้านบาท),ตำบล,อำเภอ,แผนแม่บทฯ,ปี,วงเงิน_ล้านบาท,รหัสแผนแม่บท,ชื่อแผนแม่บท,ชื่อย่อด้าน,ปีงบประมาณ,ช่วงปีงบประมาณ
1,Function,Function,กรมเจ้าท่า,(22) ค่าขุดลอกและบำรุงรักษาร่องน้ำภายในประเทศ (ดำเนินการเอง) สำนักงานพัฒนาและบำรุงรักษาทางน้ำที่ 7 จ.เชียงใหม่ จำนวน 17 ร่องน้ำ เนื้อดินประมาณ 900000 ลบ.ม.,23.085,ไม่ระบุ,ไม่ระบุ,3.0,2565.0,23.085,3,ด้านที่ 3 การจัดการน้ำท่วมและอุทกภัย,ด3_น้ำท่วมอุทกภัย,2565,ระยะต้น (2565-2567)
2,Function,Function,กรมโยธาธิการและผังเมือง,008565 : เขื่อนป้องกันตลิ่งริมแม่น้ำปิง ตั้งแต่ฝายพญาอุต หมู่ที่ 6 ถึงฝายท่ามะโก๋ หมู่ที่ 12 ตำบลหนองตอง อำเภอหางดง จังหวัดเชียงใหม่ ความยาว 865 เมตร [จังหวัดเชียงใหม่][ผูกพันสัญญา],5.6825,หนองตอง,หางดง,3.0,2565.0,5.6825,3,ด้านที่ 3 การจัดการน้ำท่วมและอุทกภัย,ด3_น้ำท่วมอุทกภัย,2565,ระยะต้น (2565-2567)
3,Function,Function,กรมโยธาธิการและผังเมือง,"008569 : เขื่อนป้องกันตลิ่งริมแม่น้ำปิง พร้อมปรับปรุงภูมิทัศน์ช่วงบริเวณสะพานข้ามแม่น้ำปิง หมู่ที่ 6 บ้านเด่นสารภี (ฝั่งซ้าย) ตำบลบ้านตาล และบริเวณบ้านกองหิน (ฝั่งขวา) ตำบลท่าข้าม อำเภอฮอด จังหวัดเชียงใหม่ ความยาว 1,660 เมตร [จังหวัดเชียงใหม่][ผูกพันสัญญา]",9.8441,บ้านตาล,ฮอด,3.0,2565.0,9.8441,3,ด้านที่ 3 การจัดการน้ำท่วมและอุทกภัย,ด3_น้ำท่วมอุทกภัย,2565,ระยะต้น (2565-2567)
4,Function,Function,กรมโยธาธิการและผังเมือง,"008572 : เขื่อนป้องกันตลิ่งริมแม่น้ำปิง บริเวณโค้งปู่ลิง หมู่ที่ 8 ตำบลบ้านตาล อำเภอฮอด จังหวัดเชียงใหม่ ความยาว 2,400 เมตร [จังหวัดเชียงใหม่][ผูกพันสัญญา]",12.4263,บ้านตาล,ฮอด,3.0,2565.0,12.4263,3,ด้านที่ 3 การจัดการน้ำท่วมและอุทกภัย,ด3_น้ำท่วมอุทกภัย,2565,ระยะต้น (2565-2567)
5,Function,Function,กรมโยธาธิการและผังเมือง,009244 : เขื่อนป้องกันตลิ่งริมแม่น้ำขาน หมู่ที่ 7 ตำบลท่าวังพร้าว อำเภอสันป่าตอง จังหวัดเชียงใหม่ ความยาว 400 เมตร [จังหวัดเชียงใหม่][ผูกพันม.41/ม.42],18.4,ท่าวังพร้าว,สันป่าตอง,3.0,2565.0,18.4,3,ด้านที่ 3 การจัดการน้ำท่วมและอุทกภัย,ด3_น้ำท่วมอุทกภัย,2565,ระยะต้น (2565-2567)
6,Function,Function,กรมโยธาธิการและผังเมือง,"009249 : เขื่อนป้องกันตลิ่งริมแม่น้ำปิง (ต่อเนื่องเขื่อนเดิม) บริเวณโค้งปู่ลิง ถึงโค้งวังแดง ตำบลบ้านตาล อำเภอฮอด จังหวัดเชียงใหม่ ความยาว 1,260 เมตร [จังหวัดเชียงใหม่][ผูกพันม.41/ม.42]",18.8571,บ้านตาล,ฮอด,3.0,2565.0,18.8571,3,ด้านที่ 3 การจัดการน้ำท่วมและอุทกภัย,ด3_น้ำท่วมอุทกภัย,2565,ระยะต้น (2565-2567)
7,Function,Function,กรมโยธาธิการและผังเมือง,010460 : เขื่อนป้องกันตลิ่งริมแม่น้ำแม่แจ่ม ช่วงบริเวณบ้านท่าข้าม หมู่ที่ 7 - บ้านวังตวง หมู่ที่ 9 ตำบลบ้านแปะ อำเภอจอมทอง จังหวัดเชียงใหม่ ความยาว 800 เมตร [จังหวัดเชียงใหม่],12.0,บ้านแปะ,จอมทอง,3.0,2565.0,12.0,3,ด้านที่ 3 การจัดการน้ำท่วมและอุทกภัย,ด3_น้ำท่วมอุทกภัย,2565,ระยะต้น (2565-2567)
8,Function,Function,กรมพัฒนาที่ดิน,"(1.1380) ค่าก่อสร้างแหล่งน้ำในไร่นา ขนาด 1,260 ลูกบาศก์เมตร ตำบลน้ำแพร่ อำเภอหางดง จังหวัดเชียงใหม่  1 บ่อ",0.0185,น้ำแพร่,หางดง,2.0,2565.0,0.0185,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2565,ระยะต้น (2565-2567)
9,Function,Function,กรมพัฒนาที่ดิน,"(1.1381) ค่าก่อสร้างแหล่งน้ำในไร่นา ขนาด 1,260 ลูกบาศก์เมตร ตำบลยุหว่า อำเภอสันป่าตอง จังหวัดเชียงใหม่  10 บ่อ",0.185,ยุหว่า,สันป่าตอง,2.0,2565.0,0.185,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2565,ระยะต้น (2565-2567)
10,Function,Function,กรมพัฒนาที่ดิน,"(1.1382) ค่าก่อสร้างแหล่งน้ำในไร่นา ขนาด 1,260 ลูกบาศก์เมตร ตำบลแม่วิน อำเภอแม่วาง จังหวัดเชียงใหม่  33 บ่อ",0.6105,แม่วิน,แม่วาง,2.0,2565.0,0.6105,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2565,ระยะต้น (2565-2567)
11,Function,Function,กรมพัฒนาที่ดิน,"(1.1383) ค่าก่อสร้างแหล่งน้ำในไร่นา ขนาด 1,260 ลูกบาศก์เมตร ตำบลโหล่งขอด อำเภอพร้าว จังหวัดเชียงใหม่  8 บ่อ",0.148,โหล่งขอด,พร้าว,2.0,2565.0,0.148,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2565,ระยะต้น (2565-2567)
12,Function,Function,กรมพัฒนาที่ดิน,"(1.1384) ค่าก่อสร้างแหล่งน้ำในไร่นา ขนาด 1,260 ลูกบาศก์เมตร ตำบลแม่ปั๋ง อำเภอพร้าว จังหวัดเชียงใหม่  5 บ่อ",0.0925,แม่ปั๋ง,พร้าว,2.0,2565.0,0.0925,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2565,ระยะต้น (2565-2567)
13,Function,Function,กรมพัฒนาที่ดิน,"(1.1386) ค่าก่อสร้างแหล่งน้ำในไร่นา ขนาด 1,260 ลูกบาศก์เมตร ตำบลท่าผา อำเภอแม่แจ่ม จังหวัดเชียงใหม่  2 บ่อ",0.037,ท่าผา,แม่แจ่ม,2.0,2565.0,0.037,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2565,ระยะต้น (2565-2567)
14,Function,Function,กรมพัฒนาที่ดิน,"(1.1387) ค่าก่อสร้างแหล่งน้ำในไร่นา ขนาด 1,260 ลูกบาศก์เมตร ตำบลช่างเคิ่ง อำเภอแม่แจ่ม จังหวัดเชียงใหม่  10 บ่อ",0.185,ช่างเคิ่ง,แม่แจ่ม,2.0,2565.0,0.185,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2565,ระยะต้น (2565-2567)
15,Function,Function,กรมพัฒนาที่ดิน,"(1.1388) ค่าก่อสร้างแหล่งน้ำในไร่นา ขนาด 1,260 ลูกบาศก์เมตร ตำบลศรีดงเย็น อำเภอไชยปราการ จังหวัดเชียงใหม่  8 บ่อ",0.148,ศรีดงเย็น,ไชยปราการ,2.0,2565.0,0.148,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2565,ระยะต้น (2565-2567)
16,Function,Function,กรมพัฒนาที่ดิน,"(1.1389) ค่าก่อสร้างแหล่งน้ำในไร่นา ขนาด 1,260 ลูกบาศก์เมตร ตำบลปงตำ อำเภอไชยปราการ จังหวัดเชียงใหม่  3 บ่อ",0.0555,ปงตำ,ไชยปราการ,2.0,2565.0,0.0555,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2565,ระยะต้น (2565-2567)
17,Function,Function,กรมพัฒนาที่ดิน,"(1.1390) ค่าก่อสร้างแหล่งน้ำในไร่นา ขนาด 1,260 ลูกบาศก์เมตร ตำบลสันทราย อำเภอฝาง จังหวัดเชียงใหม่  11 บ่อ",0.2035,สันทราย,ฝาง,2.0,2565.0,0.2035,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2565,ระยะต้น (2565-2567)
18,Function,Function,กรมพัฒนาที่ดิน,"(1.1391) ค่าก่อสร้างแหล่งน้ำในไร่นา ขนาด 1,260 ลูกบาศก์เมตร ตำบลเวียง อำเภอฝาง จังหวัดเชียงใหม่  9 บ่อ",0.1665,เวียง,ฝาง,2.0,2565.0,0.1665,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2565,ระยะต้น (2565-2567)
19,Function,Function,กรมพัฒนาที่ดิน,"(1.1392) ค่าก่อสร้างแหล่งน้ำในไร่นา ขนาด 1,260 ลูกบาศก์เมตร ตำบลแม่ข่า อำเภอฝาง จังหวัดเชียงใหม่  4 บ่อ",0.074,แม่ข่า,ฝาง,2.0,2565.0,0.074,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2565,ระยะต้น (2565-2567)
20,Function,Function,กรมพัฒนาที่ดิน,"(1.1393) ค่าก่อสร้างแหล่งน้ำในไร่นา ขนาด 1,260 ลูกบาศก์เมตร ตำบลแม่สูน อำเภอฝาง จังหวัดเชียงใหม่  1 บ่อ",0.0185,แม่สูน,ฝาง,2.0,2565.0,0.0185,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2565,ระยะต้น (2565-2567)
21,Function,Function,กรมพัฒนาที่ดิน,"(1.1394) ค่าก่อสร้างแหล่งน้ำในไร่นา ขนาด 1,260 ลูกบาศก์เมตร ตำบลแม่สาว อำเภอแม่อาย จังหวัดเชียงใหม่  10 บ่อ",0.185,แม่สาว,แม่อาย,2.0,2565.0,0.185,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2565,ระยะต้น (2565-2567)
22,Function,Function,กรมพัฒนาที่ดิน,"(1.1395) ค่าก่อสร้างแหล่งน้ำในไร่นา ขนาด 1,260 ลูกบาศก์เมตร ตำบลแม่อาย อำเภอแม่อาย จังหวัดเชียงใหม่  16 บ่อ",0.296,แม่อาย,แม่อาย,2.0,2565.0,0.296,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2565,ระยะต้น (2565-2567)
23,Function,Function,กรมพัฒนาที่ดิน,"(1.1396) ค่าก่อสร้างแหล่งน้ำในไร่นา ขนาด 1,260 ลูกบาศก์เมตร ตำบลมะลิกา อำเภอแม่อาย จังหวัดเชียงใหม่  1 บ่อ",0.0185,มะลิกา,แม่อาย,2.0,2565.0,0.0185,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2565,ระยะต้น (2565-2567)
24,Function,Function,กรมพัฒนาที่ดิน,"(1.1397) ค่าก่อสร้างแหล่งน้ำในไร่นา ขนาด 1,260 ลูกบาศก์เมตร ตำบลสันต้นหมื้อ อำเภอแม่อาย จังหวัดเชียงใหม่  18 บ่อ",0.333,สันต้นหมื้อ,แม่อาย,2.0,2565.0,0.333,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2565,ระยะต้น (2565-2567)
25,Function,Function,กรมพัฒนาที่ดิน,"(1.1398) ค่าก่อสร้างแหล่งน้ำในไร่นา ขนาด 1,260 ลูกบาศก์เมตร ตำบลบ้านหลวง อำเภอแม่อาย จังหวัดเชียงใหม่  16 บ่อ",0.296,บ้านหลวง,แม่อาย,2.0,2565.0,0.296,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2565,ระยะต้น (2565-2567)
26,Function,Function,กรมพัฒนาที่ดิน,"(1.1399) ค่าก่อสร้างแหล่งน้ำในไร่นา ขนาด 1,260 ลูกบาศก์เมตร ตำบลเมืองแหง อำเภอเวียงแหง จังหวัดเชียงใหม่  7 บ่อ",0.1295,เมืองแหง,เวียงแหง,2.0,2565.0,0.1295,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2565,ระยะต้น (2565-2567)
27,Function,Function,กรมพัฒนาที่ดิน,"(1.1400) ค่าก่อสร้างแหล่งน้ำในไร่นา ขนาด 1,260 ลูกบาศก์เมตร ตำบลแสนไห อำเภอเวียงแหง จังหวัดเชียงใหม่  4 บ่อ",0.074,แสนไห,เวียงแหง,2.0,2565.0,0.074,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2565,ระยะต้น (2565-2567)
28,Function,Function,กรมพัฒนาที่ดิน,"(1.1401) ค่าก่อสร้างแหล่งน้ำในไร่นา ขนาด 1,260 ลูกบาศก์เมตร ตำบลเปียงหลวง อำเภอเวียงแหง จังหวัดเชียงใหม่  3 บ่อ",0.0555,เปียงหลวง,เวียงแหง,2.0,2565.0,0.0555,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2565,ระยะต้น (2565-2567)
29,Function,Function,กรมพัฒนาที่ดิน,"(1.1402) ค่าก่อสร้างแหล่งน้ำในไร่นา ขนาด 1,260 ลูกบาศก์เมตร ตำบลแม่นะ อำเภอเชียงดาว จังหวัดเชียงใหม่  2 บ่อ",0.037,แม่นะ,เชียงดาว,2.0,2565.0,0.037,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2565,ระยะต้น (2565-2567)
30,Function,Function,กรมพัฒนาที่ดิน,"(1.1403) ค่าก่อสร้างแหล่งน้ำในไร่นา ขนาด 1,260 ลูกบาศก์เมตร ตำบลเมืองงาย อำเภอเชียงดาว จังหวัดเชียงใหม่  9 บ่อ",0.1665,เมืองงาย,เชียงดาว,2.0,2565.0,0.1665,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2565,ระยะต้น (2565-2567)
31,Function,Function,กรมพัฒนาที่ดิน,"(1.1404) ค่าก่อสร้างแหล่งน้ำในไร่นา ขนาด 1,260 ลูกบาศก์เมตร ตำบลดอยหล่อ อำเภอดอยหล่อ จังหวัดเชียงใหม่  3 บ่อ",0.0555,ดอยหล่อ,ดอยหล่อ,2.0,2565.0,0.0555,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2565,ระยะต้น (2565-2567)
32,Function,Function,กรมพัฒนาที่ดิน,"(1.2223) ค่าก่อสร้างแหล่งน้ำในไร่นา ขนาด 1,260 ลูกบาศก์เมตร ตำบลหารแก้ว อำเภอหางดง จังหวัดเชียงใหม่ 1 บ่อ",0.0185,หารแก้ว,หางดง,2.0,2565.0,0.0185,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2565,ระยะต้น (2565-2567)
33,Function,Function,กรมพัฒนาที่ดิน,"(1.2224) ค่าก่อสร้างแหล่งน้ำในไร่นา ขนาด 1,260 ลูกบาศก์เมตร ตำบลสันกลาง อำเภอสันป่าตอง จังหวัดเชียงใหม่ 1 บ่อ",0.0185,สันกลาง,สันป่าตอง,2.0,2565.0,0.0185,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2565,ระยะต้น (2565-2567)
34,Function,Function,กรมพัฒนาที่ดิน,"(1.2225) ค่าก่อสร้างแหล่งน้ำในไร่นา ขนาด 1,260 ลูกบาศก์เมตร ตำบลน้ำบ่อหลวง อำเภอสันป่าตอง จังหวัดเชียงใหม่ 1 บ่อ",0.0185,น้ำบ่อหลวง,สันป่าตอง,2.0,2565.0,0.0185,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2565,ระยะต้น (2565-2567)
35,Function,Function,กรมพัฒนาที่ดิน,"(1.2226) ค่าก่อสร้างแหล่งน้ำในไร่นา ขนาด 1,260 ลูกบาศก์เมตร ตำบลบ้านแม อำเภอสันป่าตอง จังหวัดเชียงใหม่ 1 บ่อ",0.0185,บ้านแม,สันป่าตอง,2.0,2565.0,0.0185,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2565,ระยะต้น (2565-2567)
36,Function,Function,กรมพัฒนาที่ดิน,"(1.2227) ค่าก่อสร้างแหล่งน้ำในไร่นา ขนาด 1,260 ลูกบาศก์เมตร ตำบลสันทราย อำเภอพร้าว จังหวัดเชียงใหม่ 12 บ่อ",0.222,สันทราย,พร้าว,2.0,2565.0,0.222,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2565,ระยะต้น (2565-2567)
37,Function,Function,กรมพัฒนาที่ดิน,"(1.2228) ค่าก่อสร้างแหล่งน้ำในไร่นา ขนาด 1,260 ลูกบาศก์เมตร ตำบลน้ำแพร่ อำเภอพร้าว จังหวัดเชียงใหม่ 7 บ่อ",0.1295,น้ำแพร่,พร้าว,2.0,2565.0,0.1295,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2565,ระยะต้น (2565-2567)
38,Function,Function,กรมพัฒนาที่ดิน,"(1.2229) ค่าก่อสร้างแหล่งน้ำในไร่นา ขนาด 1,260 ลูกบาศก์เมตร ตำบลแม่แวน อำเภอพร้าว จังหวัดเชียงใหม่ 8 บ่อ",0.148,แม่แวน,พร้าว,2.0,2565.0,0.148,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2565,ระยะต้น (2565-2567)
39,Function,Function,กรมพัฒนาที่ดิน,"(1.2230) ค่าก่อสร้างแหล่งน้ำในไร่นา ขนาด 1,260 ลูกบาศก์เมตร ตำบลป่าไผ่ อำเภอสันทราย จังหวัดเชียงใหม่ 1 บ่อ",0.0185,ป่าไผ่,สันทราย,2.0,2565.0,0.0185,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2565,ระยะต้น (2565-2567)
40,Function,Function,กรมพัฒนาที่ดิน,"(1.2235) ค่าก่อสร้างแหล่งน้ำในไร่นา ขนาด 1,260 ลูกบาศก์เมตร ตำบลกองแขก อำเภอแม่แจ่ม จังหวัดเชียงใหม่ 2 บ่อ",0.037,กองแขก,แม่แจ่ม,2.0,2565.0,0.037,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2565,ระยะต้น (2565-2567)
41,Function,Function,กรมพัฒนาที่ดิน,"(1.2251) ค่าก่อสร้างแหล่งน้ำในไร่นา ขนาด 1,260 ลูกบาศก์เมตร ตำบลปิงโค้ง อำเภอเชียงดาว จังหวัดเชียงใหม่ 1 บ่อ",0.0185,ปิงโค้ง,เชียงดาว,2.0,2565.0,0.0185,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2565,ระยะต้น (2565-2567)
42,Function,Function,กรมพัฒนาที่ดิน,"(1.2254) ค่าก่อสร้างแหล่งน้ำในไร่นา ขนาด 1,260 ลูกบาศก์เมตร ตำบลเชียงดาว อำเภอเชียงดาว จังหวัดเชียงใหม่ 7 บ่อ",0.1295,เชียงดาว,เชียงดาว,2.0,2565.0,0.1295,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2565,ระยะต้น (2565-2567)
43,Function,Function,กรมพัฒนาที่ดิน,"(1.2255) ค่าก่อสร้างแหล่งน้ำในไร่นา ขนาด 1,260 ลูกบาศก์เมตร ตำบลม่อนปิ่น อำเภอฝาง จังหวัดเชียงใหม่ 2 บ่อ",0.037,ม่อนปิ่น,ฝาง,2.0,2565.0,0.037,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2565,ระยะต้น (2565-2567)
44,Function,Function,กรมพัฒนาที่ดิน,"(1.2762) ค่าก่อสร้างแหล่งน้ำในไร่นา ขนาด 1,260 ลูกบาศก์เมตร ตำบลมะขามหลวง อำเภอสันป่าตอง จังหวัดเชียงใหม่ 1 บ่อ",0.0185,มะขามหลวง,สันป่าตอง,2.0,2565.0,0.0185,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2565,ระยะต้น (2565-2567)
45,Function,Function,กรมพัฒนาที่ดิน,"(1.3089) ค่าก่อสร้างแหล่งน้ำในไร่นา ขนาด 1,260 ลูกบาศก์เมตร ตำบลแม่แฝก อำเภอสันทราย จังหวัดเชียงใหม่ 12 บ่อ",0.222,แม่แฝก,สันทราย,2.0,2565.0,0.222,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2565,ระยะต้น (2565-2567)
46,Function,Function,กรมพัฒนาที่ดิน,"(1.3161) ค่าก่อสร้างแหล่งน้ำในไร่นา ขนาด 1,260 ลูกบาศก์เมตร ตำบลเมืองนะ อำเภอเชียงดาว จังหวัดเชียงใหม่ 2 บ่อ",0.037,เมืองนะ,เชียงดาว,2.0,2565.0,0.037,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2565,ระยะต้น (2565-2567)
47,Function,Function,กรมพัฒนาที่ดิน,"(1.3416) ค่าก่อสร้างแหล่งน้ำในไร่นา ขนาด 1,260 ลูกบาศก์เมตร ตำบลท่าศาลา อำเภอเมืองเชียงใหม่ จังหวัดเชียงใหม่ 1 บ่อ",0.0185,ท่าศาลา,เมืองเชียงใหม่,2.0,2565.0,0.0185,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2565,ระยะต้น (2565-2567)
48,Function,Function,กรมพัฒนาที่ดิน,"(1.3417) ค่าก่อสร้างแหล่งน้ำในไร่นา ขนาด 1,260 ลูกบาศก์เมตร ตำบลแม่เหียะ อำเภอเมืองเชียงใหม่ จังหวัดเชียงใหม่ 1 บ่อ",0.0185,แม่เหียะ,เมืองเชียงใหม่,2.0,2565.0,0.0185,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2565,ระยะต้น (2565-2567)
49,Function,Function,กรมพัฒนาที่ดิน,"(1.3418) ค่าก่อสร้างแหล่งน้ำในไร่นา ขนาด 1,260 ลูกบาศก์เมตร ตำบลมะขุนหวาน อำเภอสันป่าตอง จังหวัดเชียงใหม่ 1 บ่อ",0.0185,มะขุนหวาน,สันป่าตอง,2.0,2565.0,0.0185,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2565,ระยะต้น (2565-2567)
50,Function,Function,กรมพัฒนาที่ดิน,"(1.3419) ค่าก่อสร้างแหล่งน้ำในไร่นา ขนาด 1,260 ลูกบาศก์เมตร ตำบลหนองควาย อำเภอหางดง จังหวัดเชียงใหม่ 1 บ่อ",0.0185,หนองควาย,หางดง,2.0,2565.0,0.0185,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2565,ระยะต้น (2565-2567)
51,Function,Function,กรมพัฒนาที่ดิน,"(1.3420) ค่าก่อสร้างแหล่งน้ำในไร่นา ขนาด 1,260 ลูกบาศก์เมตร ตำบลหนองตอง อำเภอหางดง จังหวัดเชียงใหม่ 1 บ่อ",0.0185,หนองตอง,หางดง,2.0,2565.0,0.0185,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2565,ระยะต้น (2565-2567)
52,Function,Function,กรมพัฒนาที่ดิน,(1.1) ค่าซ่อมแซมระบบส่งน้ำชลประทานในพื้นที่ศูนย์พัฒนาโครงการหลวง จังหวัดเชียงใหม่ (หน่วยเบิกจ่ายศูนย์ปฏิบัติการพัฒนาที่ดินโครงการหลวง จังหวัดเชียงใหม่)  30 กม.,6.534,ไม่ระบุ,ไม่ระบุ,2.0,2565.0,6.534,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2565,ระยะต้น (2565-2567)
53,Function,Function,กรมพัฒนาที่ดิน,(1.2) ก่อสร้างระบบส่งน้ำชลประทานในพื้นที่ศูนย์พัฒนาโครงการหลวง จังหวัดเชียงใหม่ (หน่วยเบิกจ่ายศูนย์ปฏิบัติการพัฒนาที่ดินโครงการหลวง จังหวัดเชียงใหม่)  30 กม.,22.935,ไม่ระบุ,ไม่ระบุ,2.0,2565.0,22.935,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2565,ระยะต้น (2565-2567)
54,Area,กระจายอำนาจ,กรมส่งเสริมการปกครองท้องถิ่น,(1.4.343) ปรับปรุงซ่อมแซมสถานีสูบน้ำด้วยไฟฟ้า บ้านน้ำลัด หมู่ที่ 13 ตำบลบ้านหลวง  เทศบาลตำบลบ้านหลวง อำเภอจอมทอง จังหวัดเชียงใหม่ 1 แห่ง,1.027,บ้านหลวง,จอมทอง,2.0,2565.0,1.027,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2565,ระยะต้น (2565-2567)
55,Area,กระจายอำนาจ,กรมส่งเสริมการปกครองท้องถิ่น,(1.4.344) ปรับปรุงซ่อมแซมสถานีสูบน้ำด้วยไฟฟ้า บ้านท่าหลุก-วังปาน บ้านวังปาน หมู่ที่ 12 ตำบลสบเตี๊ยะ เทศบาลตำบลสบเตี๊ยะ อำเภอจอมทอง จังหวัดเชียงใหม่ 1 แห่ง,0.825,สบเตี๊ยะ,จอมทอง,2.0,2565.0,0.825,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2565,ระยะต้น (2565-2567)
56,Area,กระจายอำนาจ,กรมส่งเสริมการปกครองท้องถิ่น,(1.4.345) ปรับปรุงซ่อมแซมสถานีสูบน้ำด้วยไฟฟ้า บ้านห้วยทราย หมู่ที่ 5 ตำบลบ้านแปะ เทศบาลตำบลบ้านแปะ อำเภอจอมทอง จังหวัดเชียงใหม่ 1 แห่ง,0.357,บ้านแปะ,จอมทอง,2.0,2565.0,0.357,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2565,ระยะต้น (2565-2567)
